"acc","assay_type","bioproject","biosample_link","cANI","collection_date_sam","containment","geo_loc_name_country_calc","lat_lon","organism"
"SRR7162408","WGS","PRJNA453965","https://www.ncbi.nlm.nih.gov/biosample/SAMN08993558","0.91","2015-04-18","0.14","China","[22.79,108.34]","human gut metagenome"
"ERR3211686","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414331","0.99","2016-10-03","0.89","Denmark","NP","wastewater metagenome"
"ERR11010944","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820957","0.91","NP","0.13","NP","NP","unidentified"
"ERR11042457","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820925","0.92","NP","0.18","NP","NP","unidentified"
"ERR3211582","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414227","1","2016-10-03","0.96","Denmark","NP","wastewater metagenome"
"ERR3594025","WGS","PRJEB34871","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6085991","0.92","NP","0.17","United Kingdom","NP","gut metagenome"
"SRR11412763","WGS","PRJNA613947","https://www.ncbi.nlm.nih.gov/biosample/SAMN14445743","0.91","NP","0.12","China","[31.8,121.66]","gut metagenome"
"ERR11042401","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820535","0.92","NP","0.17","NP","NP","unidentified"
"ERR11010967","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821014","0.91","NP","0.15","NP","NP","unidentified"
"ERR11042560","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12818211","0.91","NP","0.15","NP","NP","unidentified"
"SRR24829650","WGS","PRJNA967723","https://www.ncbi.nlm.nih.gov/biosample/SAMN34719148","1","2019-12-01","0.97","USA","[30.2672,-97.7431]","human metagenome"
"ERR6170278","WGS","PRJEB45944","https://www.ncbi.nlm.nih.gov/biosample/SAMEA8945706","0.91","NP","0.15","Netherlands","NP","human gut metagenome"
"SRR13826162","POOLCLONE","PRJNA680829","https://www.ncbi.nlm.nih.gov/biosample/SAMN16925175","0.91","NP","0.12","uncalculated","""missing""","human gut metagenome"
"SRR23032295","WGS","PRJNA922352","https://www.ncbi.nlm.nih.gov/biosample/SAMN32650129","0.91","NP","0.13","China","""not collected""","metagenome"
"SRR11412901","WGS","PRJNA613947","https://www.ncbi.nlm.nih.gov/biosample/SAMN14445590","0.9","NP","0.12","China","[31.8,121.66]","gut metagenome"
"ERR4682424","WGS","PRJEB40815","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428331","0.9","2017-11-02","0.12","USA","NP","wastewater metagenome"
"SRR12234543","WGS","PRJNA643353","https://www.ncbi.nlm.nih.gov/biosample/SAMN15422107","0.9","NP","0.11","China","[31.23,121.47]","human gut metagenome"
"ERR4561717","WGS","PRJEB38742","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7288599","0.9","NP","0.1","NP","NP","human gut metagenome"
"SRR10692887","OTHER","PRJNA588513","https://www.ncbi.nlm.nih.gov/biosample/SAMN13246780","0.9","2018-08-27","0.11","China","[25.02,102.41]","human gut metagenome"
"ERR6170253","WGS","PRJEB45944","https://www.ncbi.nlm.nih.gov/biosample/SAMEA8945683","0.91","NP","0.15","Netherlands","NP","human gut metagenome"
"ERR6160989","WGS","PRJEB39861","https://www.ncbi.nlm.nih.gov/biosample/SAMEA8950091","0.91","NP","0.15","United Kingdom","NP","metagenome"
"SRR21860278","WGS","PRJNA889178","https://www.ncbi.nlm.nih.gov/biosample/SAMN31237817","0.9","2021-06-18","0.1","USA","[32.657,-85.52]","phyllosphere metagenome"
"ERR10077756","WGS","PRJEB55366","https://www.ncbi.nlm.nih.gov/biosample/SAMEA110645781","0.9","2018-10-10","0.12","Taiwan","NP","human gut metagenome"
"SRR18474632","OTHER","PRJNA818367","https://www.ncbi.nlm.nih.gov/biosample/SAMN26857319","0.9","2019-04-10","0.12","China","[31.35,104.25]","gut metagenome"
"ERR4682335","WGS","PRJEB40815","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428242","0.91","2017-11-22","0.14","Portugal","NP","wastewater metagenome"
"ERR2017576","WGS","PRJEB21528","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104142112","0.9","NP","0.11","China","NP","human gut metagenome"
"ERR11042387","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820519","0.92","NP","0.16","NP","NP","unidentified"
"SRR17790891","WGS","PRJNA801051","https://www.ncbi.nlm.nih.gov/biosample/SAMN25290279","0.91","NP","0.12","China","""not collected""","human gut metagenome"
"ERR2607571","WGS","PRJEB27054","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4700892","0.9","2016-02-22","0.11","USA","NP","wastewater metagenome"
"ERR3211823","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414468","1","2016-04-11","0.98","Denmark","NP","pig gut metagenome"
"ERR3726300","WGS","PRJEB23147","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5951108","0.95","NP","0.38","NP","NP","gut metagenome"
"ERR2607586","WGS","PRJEB27054","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4700907","0.9","2016-02-23","0.11","USA","NP","wastewater metagenome"
"ERR11042376","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820506","0.91","NP","0.14","NP","NP","unidentified"
"SRR17045431","WGS","PRJNA783360","https://www.ncbi.nlm.nih.gov/biosample/SAMN23429198","0.9","2019-01-15","0.12","China","[37.12,112.11]","silage metagenome"
"ERR11042036","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820979","0.9","NP","0.1","NP","NP","unidentified"
"ERR11010847","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820484","0.9","NP","0.11","NP","NP","unidentified"
"ERR10789741","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417336","0.9","NP","0.11","NP","NP","unidentified"
"SRR7533066","WGS","PRJNA477424","https://www.ncbi.nlm.nih.gov/biosample/SAMN09641593","0.92","2017-03-15","0.16","China","""not applicable""","gut metagenome"
"SRR22256707","WGS","PRJNA794347","https://www.ncbi.nlm.nih.gov/biosample/SAMN31582614","0.91","2020-10-31","0.14","USA","[39.012613,-77.030727]","freshwater metagenome"
"SRR21969392","OTHER","PRJNA841786","https://www.ncbi.nlm.nih.gov/biosample/SAMN31358393","0.9","2021-10-01","0.11","Hong Kong","[22.3,114.17]","metagenome"
"SRR17237133","WGS","PRJNA752971","https://www.ncbi.nlm.nih.gov/biosample/SAMN23966851","0.9","NP","0.11","Germany","[51.4598,12.6177]","wastewater metagenome"
"ERR929728","WGS","PRJEB9488","https://www.ncbi.nlm.nih.gov/biosample/SAMEA3469222","0.99","2012-11-23","0.75","USA","NP","mouse gut metagenome"
"SRR8925791","WGS","PRJNA681092","https://www.ncbi.nlm.nih.gov/biosample/SAMN11458257","0.9","2017-11-09","0.12","China","[33.02,119.55]","bioreactor metagenome"
"ERR11042032","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820974","0.91","NP","0.15","NP","NP","unidentified"
"ERR11010958","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820920","0.91","NP","0.13","NP","NP","unidentified"
"ERR11172836","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821672","0.92","NP","0.16","NP","NP","unidentified"
"ERR10789668","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417293","0.9","NP","0.1","NP","NP","unidentified"
"SRR18272910","WGS","PRJNA812695","https://www.ncbi.nlm.nih.gov/biosample/SAMN26423218","0.9","NP","0.11","uncalculated","""missing""","human metagenome"
"SRR14099394","POOLCLONE","PRJNA680829","https://www.ncbi.nlm.nih.gov/biosample/SAMN16925175","0.9","NP","0.1","uncalculated","""missing""","human gut metagenome"
"SRR627950","OTHER","NP","https://www.ncbi.nlm.nih.gov/biosample/SAMN01822136","0.91","NP","0.14","NP","NP","gut metagenome"
"SRR10489614","WGS","PRJNA498951","https://www.ncbi.nlm.nih.gov/biosample/SAMN13326110","0.91","2019-10-05","0.15","USA","[38.91,-76.96]","metagenome"
"SRR5189787","WGS","PRJNA341273","https://www.ncbi.nlm.nih.gov/biosample/SAMN06240274","1","2011-11-11","0.98","uncalculated","[22.81,-46.09]","marine sediment metagenome"
"SRR1535332","WGA","PRJNA256106","https://www.ncbi.nlm.nih.gov/biosample/SAMN02930023","0.9","NP","0.1","China","[22.55,113.24]","human gut metagenome"
"SRR10034629","OTHER","PRJNA562798","https://www.ncbi.nlm.nih.gov/biosample/SAMN12650764","0.92","2016-06-17","0.16","Sweden","[57.41,11.57]","biofilm metagenome"
"ERR7017763","WGS","PRJEB21259","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10256221","0.94","NP","0.26","NP","NP","metagenome"
"ERR10789598","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417190","0.9","NP","0.1","NP","NP","unidentified"
"ERR4682808","WGS","PRJEB40816","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428450","0.92","2018-06-21","0.16","United Kingdom","NP","wastewater metagenome"
"ERR4682832","WGS","PRJEB40816","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428474","0.91","2018-07-07","0.14","Kuwait","NP","wastewater metagenome"
"SRR12234859","WGS","PRJNA643353","https://www.ncbi.nlm.nih.gov/biosample/SAMN15421903","0.91","NP","0.15","China","[31.23,121.47]","human gut metagenome"
"SRR13366711","WGS","PRJNA684454","https://www.ncbi.nlm.nih.gov/biosample/SAMN17225206","0.9","NP","0.1","Brazil","[-22.22111,-54.80556]","metagenome"
"SRR10098302","WGS","PRJNA563872","https://www.ncbi.nlm.nih.gov/biosample/SAMN12691792","0.95","NP","0.36","USA","""not collected""","bovine metagenome"
"ERR3211926","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414571","0.97","2016-09-12","0.56","Denmark","NP","pig gut metagenome"
"SRR5420296","WGS","PRJNA376580","https://www.ncbi.nlm.nih.gov/biosample/SAMN06443380","0.9","NP","0.11","USA","[40.4368286,-79.960688]","indoor metagenome"
"ERR3211555","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414200","0.99","2016-10-03","0.9","Denmark","NP","wastewater metagenome"
"ERR3211617","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414262","0.99","2016-10-03","0.81","Denmark","NP","wastewater metagenome"
"ERR2683170","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777427","0.92","2017-06-01","0.18","Nepal","NP","wastewater metagenome"
"ERR3152366","WGS","PRJEB29504","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5065622","0.96","NP","0.4","NP","NP","metagenome"
"ERR7366510","WGS","PRJEB45799","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10739919","0.9","NP","0.1","NP","NP","human gut metagenome"
"ERR8529553","WGS","PRJEB40903","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12936953","0.99","NP","0.77","USA","NP","synthetic metagenome"
"ERR9527936","WGS","PRJEB52146","https://www.ncbi.nlm.nih.gov/biosample/SAMEA13942553","0.98","NP","0.7","USA","NP","primate metagenome"
"ERR3367513","WGS","PRJEB31019","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5282601","0.98","NP","0.69","NP","NP","synthetic metagenome"
"SRR4426307","WGS","PRJNA347599","https://www.ncbi.nlm.nih.gov/biosample/SAMN05893365","0.9","2015-07-30","0.12","China","""not applicable""","chicken gut metagenome"
"ERR7366380","WGS","PRJEB45799","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10739840","0.9","NP","0.11","NP","NP","human gut metagenome"
"SRR490130","OTHER","NP","https://www.ncbi.nlm.nih.gov/biosample/SAMN00862354","0.9","NP","0.11","NP","NP","soil metagenome"
"SRR2245580","WGS","PRJNA217052","https://www.ncbi.nlm.nih.gov/biosample/SAMN02334273","0.91","NP","0.13","NP","NP","gut metagenome"
"ERR11042150","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821049","0.91","NP","0.13","NP","NP","unidentified"
"ERR11042564","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12818217","0.92","NP","0.17","NP","NP","unidentified"
"SRR14610583","WGS","PRJNA731589","https://www.ncbi.nlm.nih.gov/biosample/SAMN19290984","0.9","NP","0.11","China","[31.19,121.45]","human gut metagenome"
"SRR11267062","WGS","PRJNA599289","https://www.ncbi.nlm.nih.gov/biosample/SAMN13742514","0.91","2019-06-18","0.14","China","[39.55,116.23]","insect gut metagenome"
"SRR17247035","OTHER","PRJNA789344","https://www.ncbi.nlm.nih.gov/biosample/SAMN24109463","0.9","2019-10-01","0.11","uncalculated","""missing""","soil metagenome"
"SRR17243630","WGS","PRJNA788972","https://www.ncbi.nlm.nih.gov/biosample/SAMN24044233","0.9","2018-12-03","0.11","China","[34.66,123.21]","human gut metagenome"
"ERR7017685","WGS","PRJEB21259","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10256225","0.96","NP","0.44","NP","NP","metagenome"
"ERR3211588","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414233","0.99","2016-10-03","0.75","Denmark","NP","wastewater metagenome"
"SRR5676468","WGS","PRJNA388734","https://www.ncbi.nlm.nih.gov/biosample/SAMN07190885","0.9","2016-03-17","0.12","Hong Kong","[22.4,114.21]","wastewater metagenome"
"SRR22402368","WGS","PRJNA904924","https://www.ncbi.nlm.nih.gov/biosample/SAMN31857854","0.9","2018-10-17","0.11","Italy","[45.04,7.41]","gut metagenome"
"SRR13826032","POOLCLONE","PRJNA680829","https://www.ncbi.nlm.nih.gov/biosample/SAMN16925175","0.9","NP","0.1","uncalculated","""missing""","human gut metagenome"
"SRR19443811","WGS","PRJNA841427","https://www.ncbi.nlm.nih.gov/biosample/SAMN28593728","0.98","NP","0.69","Taiwan","[23.58,120.58]","synthetic metagenome"
"ERR9527859","WGS","PRJEB52146","https://www.ncbi.nlm.nih.gov/biosample/SAMEA13942476","0.99","NP","0.86","USA","NP","primate metagenome"
"ERR9855099","WGS","PRJEB13831","https://www.ncbi.nlm.nih.gov/biosample/SAMEA110143638","0.9","2016-02-02","0.11","China","NP","wastewater metagenome"
"ERR2683263","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777520","0.9","2017-06-08","0.12","Hungary","NP","wastewater metagenome"
"ERR4682444","WGS","PRJEB40815","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428351","0.91","2017-11-21","0.14","New Zealand","NP","wastewater metagenome"
"SRR16477270","WGS","PRJNA772552","https://www.ncbi.nlm.nih.gov/biosample/SAMN22377014","0.9","2020-05-20","0.12","China","""not collected""","soil metagenome"
"ERR10299991","WGS","PRJEB49383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA11123730","0.9","NP","0.1","United Kingdom","NP","clinical metagenome"
"SRR7533079","WGS","PRJNA477424","https://www.ncbi.nlm.nih.gov/biosample/SAMN09641611","0.9","2016-08-21","0.12","China","""not applicable""","gut metagenome"
"ERR3211700","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414345","0.9","2016-10-03","0.11","Denmark","NP","wastewater metagenome"
"ERR2597428","WGS","PRJEB26961","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4688942","0.94","2016-01-20","0.25","Denmark","NP","gut metagenome"
"ERR4682450","WGS","PRJEB40815","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428357","0.9","2017-11-23","0.11","Malaysia","NP","wastewater metagenome"
"SRR10143129","WGS","PRJNA539067","https://www.ncbi.nlm.nih.gov/biosample/SAMN11532582","0.9","2015-08-05","0.1","USA","[41.3777,-82.5117]","wetland metagenome"
"ERR10789518","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417528","0.9","NP","0.12","NP","NP","unidentified"
"SRR14874671","WGS","PRJNA737472","https://www.ncbi.nlm.nih.gov/biosample/SAMN19715496","0.97","NP","0.55","USA","[42.39,-71.12]","human gut metagenome"
"SRR15634009","WGS","PRJNA755428","https://www.ncbi.nlm.nih.gov/biosample/SAMN20967541","0.91","2020-05-12","0.14","China","[23.6,113.15]","gut metagenome"
"ERR7599959","Hi-C","PRJEB49168","https://www.ncbi.nlm.nih.gov/biosample/SAMEA11358332","0.9","NP","0.11","NP","NP","human gut metagenome"
"ERR4097208","WGS","PRJEB38036","https://www.ncbi.nlm.nih.gov/biosample/SAMEA6804950","0.99","NP","0.77","Denmark","NP","human gut metagenome"
"SRR8289515","WGS","PRJNA507824","https://www.ncbi.nlm.nih.gov/biosample/SAMN10508882","0.94","NP","0.25","USA","NP","blood metagenome"
"ERR1971005","WGS","PRJEB14847","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104057380","1","NP","1","NP","NP","gut metagenome"
"ERR11010960","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820967","0.91","NP","0.13","NP","NP","unidentified"
"SRR21374464","WGS","PRJNA875025","https://www.ncbi.nlm.nih.gov/biosample/SAMN30613648","0.9","2020-09-06","0.11","USA","""40 N 105.3 W""","wastewater metagenome"
"SRR17284321","WGS","PRJNA695070","https://www.ncbi.nlm.nih.gov/biosample/SAMN23963230","0.94","NP","0.29","China","""not collected""","human metagenome"
"ERR11042071","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12820873","0.91","NP","0.14","NP","NP","unidentified"
"ERR2380788","WGS","PRJEB24780","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104674454","0.91","2011-10-20","0.15","China","NP","metagenome"
"SRR14117118","WGS","PRJNA695070","https://www.ncbi.nlm.nih.gov/biosample/SAMN17717773","0.9","NP","0.11","China","""not collected""","human metagenome"
"SRR15070234","OTHER","PRJNA744876","https://www.ncbi.nlm.nih.gov/biosample/SAMN20120718","0.91","2020-11-14","0.15","uncalculated","""missing""","soil metagenome"
"SRR24951328","WGS","PRJNA982679","https://www.ncbi.nlm.nih.gov/biosample/SAMN35711828","0.97","2022-05-10","0.51","Switzerland","[47.4939143,7.5216874]","Salmonella enterica"
"ERR3363692","OTHER","PRJEB32887","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5700176","0.99","NP","0.85","United Kingdom","NP","human metagenome"
"SRR22464949","WGS","PRJNA906507","https://www.ncbi.nlm.nih.gov/biosample/SAMN31926772","0.92","2019-06-01","0.18","USA","[30.36,-96.23]","chicken gut metagenome"
"SRR12640731","WGS","PRJNA663116","https://www.ncbi.nlm.nih.gov/biosample/SAMN16132426","0.9","2019-08-11","0.12","China","[40.12,115.54]","synthetic metagenome"
"ERR1971027","WGS","PRJEB14847","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104057402","1","NP","1","NP","NP","gut metagenome"
"ERR3211908","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414553","0.98","2016-09-12","0.63","Denmark","NP","pig gut metagenome"
"SRR11412706","WGS","PRJNA613947","https://www.ncbi.nlm.nih.gov/biosample/SAMN14445564","0.9","NP","0.11","China","[31.8,121.66]","gut metagenome"
"ERR10789512","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417516","0.92","NP","0.16","NP","NP","unidentified"
"SRR20630373","WGS","PRJNA858926","https://www.ncbi.nlm.nih.gov/biosample/SAMN29759697","0.91","2021-08-01","0.12","China","""not collected""","human gut metagenome"
"ERR3211746","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414391","1","2016-04-11","0.97","Denmark","NP","pig gut metagenome"
"ERR11042139","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821034","0.92","NP","0.18","NP","NP","unidentified"
"SRR19660470","WGS","PRJNA849401","https://www.ncbi.nlm.nih.gov/biosample/SAMN29054772","1","2021-11-01","0.98","China","[24.52,102.49]","gut metagenome"
"SRR3747760","WGS","PRJNA327808","https://www.ncbi.nlm.nih.gov/biosample/SAMN05357637","0.9","2014-08-10","0.12","Canada","[42.98,-81.24]","food metagenome"
"SRR5405792","WGS","PRJNA376566","https://www.ncbi.nlm.nih.gov/biosample/SAMN06444528","0.91","NP","0.13","USA","""not collected""","human metagenome"
"SRR10034633","OTHER","PRJNA562798","https://www.ncbi.nlm.nih.gov/biosample/SAMN12650763","0.9","2016-06-17","0.12","Sweden","[57.41,11.57]","biofilm metagenome"
"ERR9834200","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA14509402","0.9","2017-09-16","0.11","China","NP","wastewater metagenome"
"SRR15633981","WGS","PRJNA755428","https://www.ncbi.nlm.nih.gov/biosample/SAMN20967567","0.93","2020-05-12","0.24","China","[23.6,113.15]","gut metagenome"
"SRR6339791","WGS","PRJNA420874","https://www.ncbi.nlm.nih.gov/biosample/SAMN08123132","0.92","2015-10-18","0.17","China","[30.71,118.99]","food metagenome"
"SRR21986415","WGS","PRJNA892575","https://www.ncbi.nlm.nih.gov/biosample/SAMN31389174","0.99","NP","0.77","USA","[33.68615,-117.830437]","gut metagenome"
"SRR21374619","WGS","PRJNA875025","https://www.ncbi.nlm.nih.gov/biosample/SAMN30613594","0.9","2020-09-06","0.1","USA","""40 N 105.3 W""","wastewater metagenome"
"ERR10789519","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10417529","0.91","NP","0.13","NP","NP","unidentified"
"SRR15633993","WGS","PRJNA755428","https://www.ncbi.nlm.nih.gov/biosample/SAMN20967556","0.93","2020-05-12","0.23","China","[23.6,113.15]","gut metagenome"
"SRR19443820","WGS","PRJNA841427","https://www.ncbi.nlm.nih.gov/biosample/SAMN28593728","0.98","NP","0.7","Taiwan","[23.58,120.58]","synthetic metagenome"
"ERR7366388","WGS","PRJEB45799","https://www.ncbi.nlm.nih.gov/biosample/SAMEA10739841","0.9","NP","0.11","NP","NP","human gut metagenome"
"ERR2241653","WGS","PRJEB22062","https://www.ncbi.nlm.nih.gov/biosample/SAMEA104467156","0.94","NP","0.28","Netherlands","NP","metagenome"
"ERR3211677","WGS","PRJEB31650","https://www.ncbi.nlm.nih.gov/biosample/SAMEA5414322","0.9","2016-08-15","0.11","Denmark","NP","wastewater metagenome"
"ERR11172790","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821206","0.91","NP","0.15","NP","NP","unidentified"
"ERR4682772","WGS","PRJEB40816","https://www.ncbi.nlm.nih.gov/biosample/SAMEA7428413","0.92","2017-11-22","0.16","Singapore","NP","wastewater metagenome"
"SRR14555700","WGS","PRJNA730191","https://www.ncbi.nlm.nih.gov/biosample/SAMN19222455","0.94","2020-04-01","0.27","China","[45.683333,126.633333]","soil metagenome"
"SRR5963411","WGS","PRJNA396794","https://www.ncbi.nlm.nih.gov/biosample/SAMN07501318","0.9","NP","0.1","USA","[40.44,-79.99]","human gut metagenome"
"SRR19660468","WGS","PRJNA849401","https://www.ncbi.nlm.nih.gov/biosample/SAMN29054774","0.9","2022-01-01","0.11","China","[24.52,102.49]","gut metagenome"
"SRR18468224","OTHER","PRJNA648796","https://www.ncbi.nlm.nih.gov/biosample/SAMN26880205","0.96","2020-01-01","0.38","Hong Kong","[22.3,114.17]","human gut metagenome"
"SRR6060199","WGS","PRJNA407815","https://www.ncbi.nlm.nih.gov/biosample/SAMN07688536","0.9","NP","0.1","Indonesia","""not collected""","human gut metagenome"
"SRR2329910","WGS","PRJNA293646","https://www.ncbi.nlm.nih.gov/biosample/SAMN04009142","0.9","2014-06-01","0.12","China","[39.9,116.3]","bovine gut metagenome"
"ERR2607500","WGS","PRJEB27054","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4700821","0.9","2016-01-02","0.11","Malta","NP","wastewater metagenome"
"ERR11042220","WGS","PRJEB40383","https://www.ncbi.nlm.nih.gov/biosample/SAMEA12821784","0.9","NP","0.12","NP","NP","unidentified"
"ERR2683193","WGS","PRJEB27621","https://www.ncbi.nlm.nih.gov/biosample/SAMEA4777450","0.9","2017-06-08","0.12","Malaysia","NP","wastewater metagenome"
"SRR11435981","WGA","PRJNA615915","https://www.ncbi.nlm.nih.gov/biosample/SAMN14475179","0.99","NP","0.87","USA","[33.2,-84.28]","metagenome"
"SRR5058924","WGS","PRJNA321753","https://www.ncbi.nlm.nih.gov/biosample/SAMN05024035","0.99","2013-07-01","0.83","USA","""missing""","human gut metagenome"
